word1,word2,
amor,sexe,
tigre,gat,
tigre,tigre,
llibre,paper,
ordinador,teclat,
ordinador,internet,
avió,cotxe,
tren,cotxe,
telèfon,comunicació,
televisió,ràdio,
mitjans,ràdio,
droga,abús,
pa,mantega,
cogombre,patata,
metge,infermera,
professor,metge,
estudiant,professor,
intel·ligent,estudiant,
intel·ligent,estúpid,
empresa,estoc,
estoc,mercat,
estoc,telèfon,
estoc,CD,
estoc,jaguar,
estoc,ou,
fertilitat,ou,
estoc,viu,
estoc,vida,
llibre,biblioteca,
banc,diners,
fusta,bosc,
diners,efectiu,
professor,cogombre,
rei,col,
rei,reina,
rei,torre,
bisbe,rabí,
Jerusalem,Israel,
Jerusalem,Palestí,
sant,sexe,
fotre,sexe,
Maradona,futbol,
futbol,futbol,
futbol,bàsquet,
futbol,tennis,
tennis,raqueta,
Arafat,pau,
Arafat,terror,
Arafat,Jackson,
llei,advocat,
pel·lícula,estrella,
pel·lícula,crispetes,
pel·lícula,crític,
pel·lícula,teatre,
física,protó,
física,química,
espai,química,
alcohol,química,
vodka,gin,
vodka,aiguardent,
beure,cotxe,
beure,orella,
beure,boca,
beure,menjar,
nadó,mare,
beure,mare,
cotxe,automòbil,
gemma,joia,
viatge,viatge,
noi,noi,
costa,vora,
asil,manicomi,
mag,assistent,
migdia,migdia,
forn,estufa,
menjar,fruita,
ocell,gall,
ocell,grua,
eina,implementar,
germà,monjo,
grua,implementar,
noi,germà,
viatge,cotxe,
monjo,oracle,
cementiri,bosc,
menjar,gall,
costa,turó,
bosc,cementiri,
vora,bosc,
monjo,esclau,
costa,bosc,
noi,assistent,
acord,somriu,
vidre,mag,
migdia,cadena,
gall,viatge,
diners,dòlar,
diners,efectiu,
diners,moneda,
diners,riquesa,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
